model,model_label,rank,feature_set,threshold_mode,threshold_mean,threshold_std,num_seeds,seeds,headline_positive_class,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,accuracy_mean,accuracy_std,auc_mean,auc_std,aupr_mean,aupr_std,real_positive_precision_mean,real_positive_precision_std,real_positive_recall_mean,real_positive_recall_std,real_positive_f1_mean,real_positive_f1_std,real_positive_auc_mean,real_positive_auc_std,real_positive_aupr_mean,real_positive_aupr_std,hallucination_positive_precision_mean,hallucination_positive_precision_std,hallucination_positive_recall_mean,hallucination_positive_recall_std,hallucination_positive_f1_mean,hallucination_positive_f1_std,hallucination_positive_auc_mean,hallucination_positive_auc_std,hallucination_positive_aupr_mean,hallucination_positive_aupr_std
llava_1_5_7b,LLaVA-1.5-7B,5,hpre_raw_logit_gauss_ev_target_dist_mass_x_cosine,train_f1,0.47153212626775104,0.025273280891210996,3,"43,44,45",real,0.8695231167767884,0.003972441368827915,0.9121871153057036,0.0046905835588789855,0.8903268598869114,0.0017741917681667139,0.8259165077346896,0.002847007595368576,0.8651565284376441,0.003210494145549386,0.9552341856518033,0.001398994151964333,0.8695231167767884,0.003972441368827915,0.9121871153057036,0.0046905835588789855,0.8903268598869114,0.0017741917681667139,0.8651565284376441,0.003210494145549386,0.9552341856518033,0.001398994151964333,0.6370297221381302,0.008685925257480452,0.5293841090738128,0.01807464295885389,0.5780318899881401,0.010799427173775794,0.8651565284376441,0.0032104941455492475,0.6362319564877805,0.0039448498212804484
llava_1_5_7b,LLaVA-1.5-7B,6,hpre_softmax_prob_gauss_source_target_union_topk_js,train_f1,0.46495307485262555,0.022793815038904403,3,"43,44,45",real,0.8689313614400206,0.002291070558692145,0.9130077964710709,0.0043940304757787,0.890412155596144,0.0009018913539789072,0.8259165077346896,0.0007928920082165708,0.8650205199229323,0.001622698151681672,0.955375888445376,0.0009228041686275189,0.8689313614400206,0.002291070558692145,0.9130077964710709,0.0043940304757787,0.890412155596144,0.0009018913539789072,0.8650205199229323,0.001622698151681672,0.955375888445376,0.0009228041686275189,0.6380265811084741,0.006579479769045984,0.5265632346027268,0.011819280761614063,0.5768078064544534,0.0045211080148542734,0.8650205199229323,0.0016226981516816595,0.6449889846234057,0.001604926973412066
internvl_2_5_8b,InternVL2.5-8B,1,hpre_raw_logit_gauss_source_target_union_topk_js+hpre_raw_logit_gauss_ev_target_dist_mass_x_cosine,fixed_0.5,0.5,0.0,3,"43,44,45",real,0.8850109010331678,0.013988261063280862,0.9505312084993359,0.022717510484138146,0.9162409048027245,0.0032579482078517897,0.8535629287414251,0.0027718031461883667,0.8523697880506571,0.00511671791322705,0.9651321702855151,0.0027516792158673673,0.8850109010331678,0.013988261063280862,0.9505312084993359,0.022717510484138146,0.9162409048027245,0.0032579482078517897,0.8523697880506571,0.00511671791322705,0.9651321702855151,0.0027516792158673673,0.5690238823427805,0.04112489581895771,0.3315460232350313,0.1056480193467857,0.4049222261714607,0.07062538057815189,0.8523697880506571,0.005116717913227014,0.5129129326192207,0.018216186271630887
internvl_2_5_8b,InternVL2.5-8B,2,hpre_softmax_prob_gauss_source_target_union_topk_js+hpre_softmax_prob_gauss_ev_target_dist_mass_x_cosine,fixed_0.5,0.5,0.0,3,"43,44,45",real,0.8944837929353183,0.004405293713663754,0.9326029216467463,0.004478996534937639,0.9131255181928796,0.00115412887015309,0.8503429931401372,0.0022046781111610962,0.8473469838251996,0.0011136069275861922,0.9634243836418414,0.0005039218514588304,0.8944837929353183,0.004405293713663754,0.9326029216467463,0.004478996534937639,0.9131255181928796,0.00115412887015309,0.8473469838251996,0.0011136069275861922,0.9634243836418414,0.0005039218514588304,0.5288310935369759,0.008280236420182215,0.4075067024128686,0.03033165817422187,0.4597689991791532,0.02145572383173214,0.8473469838251996,0.001113606927586171,0.49736758482949445,0.004095191330209775
internvl_2_5_8b,InternVL2.5-8B,3,hpre_raw_logit_gauss_ev_target_dist_mass_x_cosine,fixed_0.5,0.5,0.0,3,"43,44,45",real,0.8737447832049856,0.004315162951323489,0.9633134130146083,0.010714568102991309,0.9162903059076295,0.0031287420117637084,0.8516029679406412,0.004566570469074632,0.8387270845127088,0.0028689904580980288,0.9637098628289474,0.0007416529560020448,0.8737447832049856,0.004315162951323489,0.9633134130146083,0.010714568102991309,0.9162903059076295,0.0031287420117637084,0.8387270845127088,0.0028689904580980288,0.9637098628289474,0.0007416529560020448,0.5658305156248223,0.038216149979604166,0.2502234137622878,0.03678126117472151,0.34393443740203095,0.031234259463766387,0.8387270845127088,0.0028689904580979125,0.4796206540368472,0.009201179004215625
internvl_2_5_8b,InternVL2.5-8B,4,hpre_softmax_prob_gauss_ev_target_dist_mass_x_cosine,fixed_0.5,0.5,0.0,3,"43,44,45",real,0.8583632653423637,0.006812271733520458,0.9799136786188579,0.009539015868896833,0.9150488909165507,0.0004657814888879597,0.8465630687386252,0.0010476431154344012,0.829893785002973,0.002526335493073604,0.9611978566532008,0.00030514958851421886,0.8583632653423637,0.006812271733520458,0.9799136786188579,0.009539015868896833,0.9150488909165507,0.0004657814888879597,0.829893785002973,0.002526335493073604,0.9611978566532008,0.00030514958851421886,0.5487543189670849,0.018302512555368317,0.128686327077748,0.05678754196717517,0.2018641565153193,0.0712814268319031,0.829893785002973,0.0025263354930736464,0.4513641768365358,0.010358687036103377
internvl_2_5_8b,InternVL2.5-8B,5,hpre_softmax_prob_gauss_source_target_union_topk_js,fixed_0.5,0.5,0.0,3,"43,44,45",real,0.8647274636666035,0.005178564473119571,0.9659694555112882,0.01156074724201868,0.9124761180691013,0.002422138180613157,0.8437631247375053,0.0029299243366171525,0.7964199947306395,0.0013980887022344648,0.9526363358592587,0.0009602089792833973,0.8647274636666035,0.005178564473119571,0.9659694555112882,0.01156074724201868,0.9124761180691013,0.002422138180613157,0.7964199947306395,0.0013980887022344648,0.9526363358592587,0.0009602089792833973,0.5106217616580311,0.028812048561384834,0.18588025022341373,0.04519810050545771,0.2681959185242809,0.04295659396883856,0.7964199947306395,0.0013980887022345169,0.4116600837065798,0.0010871492004810716
internvl_2_5_8b,InternVL2.5-8B,6,hpre_raw_logit_gauss_source_target_union_topk_js,fixed_0.5,0.5,0.0,3,"43,44,45",real,0.8636422981362375,0.0012093292468797567,0.9682934926958832,0.004309679610141818,0.9129715554106155,0.0014474191877626903,0.8443231135377293,0.002177845329147972,0.7838029027767393,0.0002136403366432228,0.9491908266240934,0.0007235144984879653,0.8636422981362375,0.0012093292468797567,0.9682934926958832,0.004309679610141818,0.9129715554106155,0.0014474191877626903,0.7838029027767393,0.0002136403366432228,0.9491908266240934,0.0007235144984879653,0.5107171110800875,0.0198138075184611,0.1769436997319035,0.011583093294741482,0.262351524903523,0.011274870497776155,0.7838029027767393,0.0002136403366433425,0.405775894293742,0.0033194516027642987
internvl_2_5_8b,InternVL2.5-8B,1,hpre_raw_logit_gauss_source_target_union_topk_js+hpre_raw_logit_gauss_ev_target_dist_mass_x_cosine,train_f1,0.5553297897179922,0.05425790702729418,3,"43,44,45",real,0.895866055873431,0.0046987874248958245,0.9364209827357238,0.004173242061745244,0.9156747078714874,0.001292356789848614,0.8545429091418172,0.002573817207174896,0.8523697880506571,0.00511671791322705,0.9651321702855151,0.0027516792158673673,0.895866055873431,0.0046987874248958245,0.9364209827357238,0.004173242061745244,0.9156747078714874,0.001292356789848614,0.8523697880506571,0.00511671791322705,0.9651321702855151,0.0027516792158673673,0.5470288101854306,0.009549031697996913,0.41376228775692586,0.03189735173829266,0.47059633971986986,0.023097508212163498,0.8523697880506571,0.005116717913227014,0.5129129326192207,0.018216186271630887
internvl_2_5_8b,InternVL2.5-8B,2,hpre_softmax_prob_gauss_source_target_union_topk_js+hpre_softmax_prob_gauss_ev_target_dist_mass_x_cosine,train_f1,0.5141321221987406,0.008609283097565593,3,"43,44,45",real,0.8959077281054313,0.005024582805270447,0.9281208499335989,0.005414842772343983,0.9117000146243736,5.62001037211946e-05,0.8483830323393532,0.0009072855520660559,0.8473469838251996,0.0011136069275861922,0.9634243836418414,0.0005039218514588304,0.8959077281054313,0.005024582805270447,0.9281208499335989,0.005414842772343983,0.9117000146243736,5.62001037211946e-05,0.8473469838251996,0.0011136069275861922,0.9634243836418414,0.0005039218514588304,0.5197879510730634,0.002135540146717224,0.41912421805183203,0.03490978549530761,0.4633188893363312,0.022775980045010146,0.8473469838251996,0.001113606927586171,0.49736758482949445,0.004095191330209775
