model,feature,input_dim,AUROC_mean,AUROC_std,HALL_AUPR_mean,HALL_AUPR_std
qwen2_5_vl_7b,legacy_visual,56,0.8828720479017296,0.0023513978710245553,0.42387325944849835,0.008233149455695704
qwen2_5_vl_7b,legacy_plus_prompt_kappa,84,0.8896409940122839,0.002562413150450621,0.45538702627918964,0.013204092538161596
qwen2_5_vl_7b,legacy_plus_generation_kappa,84,0.8799629943720607,0.004600777461080025,0.44624153728591226,0.011307625188021333
qwen2_5_vl_7b,legacy_plus_b1_residual_balance,84,0.8891578649808546,0.0015424321719895993,0.499956167010039,0.0059844724500763575
qwen2_5_vl_7b,legacy_plus_b1_delta_cos_rg,84,0.8985223447177036,0.0025796743264219417,0.47493203689172897,0.018909499293215316
qwen2_5_vl_7b,legacy_plus_visual_context_change,84,0.8895844576362655,0.0019095933915108097,0.45820998881308067,0.006888315972725031
qwen2_5_vl_7b,legacy_plus_five,196,0.8906072520751419,0.003935209152929413,0.5049199852347909,0.01808525871830261
qwen2_5_vl_7b,five_concat,140,0.8554005088273842,0.003065269524125105,0.4101295939591323,0.0064111172991491395
llava_1_5_7b,legacy_visual,64,0.8982997655636092,0.0006193532605916839,0.6854632942213019,0.0037150517065220024
llava_1_5_7b,legacy_plus_prompt_kappa,96,0.905938511801704,0.0019236487193196087,0.6874093274095058,0.007095124876610545
llava_1_5_7b,legacy_plus_generation_kappa,96,0.9036862595494517,0.0011208789470675226,0.7008140887368389,0.004931139138841218
llava_1_5_7b,legacy_plus_b1_residual_balance,96,0.9028597000909704,0.0004817748678012594,0.6808810859289807,0.0038973244604566274
llava_1_5_7b,legacy_plus_b1_delta_cos_rg,96,0.9080570798811841,0.0012200123461074657,0.6942454882693588,0.0031095771785293893
llava_1_5_7b,legacy_plus_visual_context_change,96,0.9072619035974085,0.0014192255743766917,0.7031278730324318,0.007226476816292995
llava_1_5_7b,legacy_plus_five,224,0.9102172204778068,0.00028606680058973233,0.7149232934280413,0.0012472896102487042
llava_1_5_7b,five_concat,160,0.9007704773177085,0.0010645612763006637,0.6839142524201733,0.004963994435680841
qwen3_vl_8b,legacy_visual,72,0.898537741046832,0.0008278306128614588,0.6783558288140105,0.003270693992660331
qwen3_vl_8b,legacy_plus_prompt_kappa,108,0.919273829201102,0.0020597019274253923,0.7192143223862585,0.006621884434845597
qwen3_vl_8b,legacy_plus_generation_kappa,108,0.9092231404958677,0.002184586273100272,0.6980835125037644,0.005370934980499862
qwen3_vl_8b,legacy_plus_b1_residual_balance,108,0.9128027548209366,0.00256980600253492,0.6850010615225447,0.0045202233120928805
qwen3_vl_8b,legacy_plus_b1_delta_cos_rg,108,0.9124528925619835,0.0011898744843968682,0.692460309818658,0.0026552685475355027
qwen3_vl_8b,legacy_plus_visual_context_change,108,0.9088330578512397,0.002314504481065783,0.6809832902306203,0.008333544577930467
qwen3_vl_8b,legacy_plus_five,252,0.9278942148760331,0.0009947099564480606,0.7056576169489204,0.0006840789626274314
qwen3_vl_8b,five_concat,180,0.9077013774104685,0.0016335314184555366,0.6695294947322269,0.005588436907213422
internvl_2_5_8b,legacy_visual,64,0.8624108347792557,0.0037432237450266913,0.5385904754675755,0.0035292282152722815
internvl_2_5_8b,legacy_plus_prompt_kappa,96,0.8817167919799499,0.0010006656591641863,0.5684684598588124,0.002200650632430781
internvl_2_5_8b,legacy_plus_generation_kappa,96,0.8699103528050897,0.0009574176306404002,0.5477465444348245,0.007249854560804052
internvl_2_5_8b,legacy_plus_b1_residual_balance,96,0.8631048775785618,0.002506459929295347,0.5411339683508062,0.007244983382062375
internvl_2_5_8b,legacy_plus_b1_delta_cos_rg,96,0.8753152111046848,0.001801203943671493,0.5693763884037653,0.0026254919794048647
internvl_2_5_8b,legacy_plus_visual_context_change,96,0.8614719491035281,0.0039210602989383884,0.546984623780097,0.013716237549121126
internvl_2_5_8b,legacy_plus_five,224,0.8876932716406402,0.0022389994596778017,0.6008122488970824,0.0139283409393817
internvl_2_5_8b,five_concat,160,0.8744023520339309,0.002731903722800241,0.5611793045542651,0.006566527810398965
