model,source_mode,label,layer,n_samples,n_tokens,n_visual_mean,n_visual_min,n_visual_max,token_mean,token_std,max_row_sum_error,p50_mean,p50_std,p50_sem,p90_mean,p90_std,p90_sem,p99_mean,p99_std,p99_sem,pmax_mean,pmax_std,pmax_sem,relative_p50_mean,relative_p50_std,relative_p50_sem,relative_p90_mean,relative_p90_std,relative_p90_sem,relative_p99_mean,relative_p99_std,relative_p99_sem,relative_pmax_mean,relative_pmax_std,relative_pmax_sem,top1_mass_mean,top1_mass_std,top1_mass_sem,top5_mass_mean,top5_mass_std,top5_mass_sem,top10_mass_mean,top10_mass_std,top10_mass_sem,top32_mass_mean,top32_mass_std,top32_mass_sem,normalized_entropy_mean,normalized_entropy_std,normalized_entropy_sem,effective_token_fraction_mean,effective_token_fraction_std,effective_token_fraction_sem,mass_above_uniform_mean,mass_above_uniform_std,mass_above_uniform_sem,fraction_above_uniform_mean,fraction_above_uniform_std,fraction_above_uniform_sem
qwen3_vl_8b,hmid_cos,hall,1,2593,700851,270.2857694,70,400,0.003699787829,0.008222216532,1.361768227e-07,0.001076316836,0.0008927595639,1.75320723e-05,0.01023584743,0.003418496872,6.713267126e-05,0.03847308849,0.02035416307,0.0003997164219,0.04725816778,0.0302779319,0.0005946000611,0.2712635152,0.1881490744,0.003694884165,2.67173312,0.7270450033,0.01427775863,9.943506615,4.465477791,0.08769335291,12.16253214,6.708391798,0.1317398489,0.04725816778,0.0302779319,0.0005946000611,0.2004668436,0.1036210574,0.002034917287,0.3446081511,0.1464452632,0.002875901919,0.6664619937,0.1663120194,0.003266046612,0.8016167425,0.09768661712,0.001918376351,0.3784910844,0.1849558081,0.003632174588,0.7736888976,0.1121610084,0.002202625418,0.1893207995,0.04503746596,0.0008844487826
qwen3_vl_8b,hmid_cos,hall,2,2593,700851,270.2857694,70,400,0.003699787829,0.002939188508,1.48836989e-07,0.003060943206,0.000962375316,1.889919112e-05,0.007328411537,0.002040945311,4.008022116e-05,0.01364717768,0.004885626713,9.594426567e-05,0.01847245508,0.007806604949,0.0001533066325,0.7868666702,0.09696964413,0.001904296387,1.896324389,0.2588659463,0.005083626848,3.548221095,1.027537987,0.02017886003,4.821216301,1.827174442,0.03588217445,0.01847245508,0.007806604949,0.0001533066325,0.07399311778,0.02543907811,0.0004995743251,0.1289868613,0.03977702098,0.0007811438106,0.3067143511,0.07498356748,0.001472532336,0.9600322126,0.01947857408,0.0003825215466,0.8048183209,0.0855241962,0.001679529911,0.6267421493,0.04534515169,0.0008904911357,0.3685453962,0.03939940754,0.0007737282126
qwen3_vl_8b,hmid_cos,hall,3,2593,700851,270.2857694,70,400,0.003699787829,0.004209961999,1.472362783e-07,0.002727198549,0.001007652578,1.978834903e-05,0.007317286694,0.00208718422,4.098826395e-05,0.01996366929,0.01068231218,0.0002097799643,0.02839828175,0.02005124367,0.0003937676704,0.7008728342,0.1571335328,0.003085798875,1.894174234,0.2875551223,0.005647026813,5.187578934,2.477462303,0.04865257118,7.360579606,4.764740783,0.09357029965,0.02839828175,0.02005124367,0.0003937676704,0.1092203941,0.05888482906,0.00115638423,0.1805874553,0.08305464974,0.001631032792,0.3717482298,0.117935858,0.002316032304,0.9374288884,0.04624962592,0.0009082532613,0.7255090222,0.1509308166,0.002963989517,0.6183851665,0.05976329988,0.001173635699,0.317083692,0.05965437431,0.001171496611
qwen3_vl_8b,hmid_cos,hall,4,2593,700851,270.2857694,70,400,0.003699787829,0.003354013627,1.423977665e-07,0.003083206359,0.001002045633,1.967823946e-05,0.007057216092,0.002100168403,4.12432482e-05,0.01564226319,0.007960611731,0.0001563310281,0.02174712916,0.01334231038,0.0002620171877,0.7945263375,0.1357814559,0.002666485355,1.824626729,0.3027602512,0.005945626156,4.056942686,1.809071037,0.03552665858,5.642992502,3.167194883,0.06219758592,0.02174712916,0.01334231038,0.0002620171877,0.08519444485,0.04268977809,0.0008383447304,0.1439925696,0.06341517517,0.001245351471,0.3191565825,0.1032124013,0.002026892071,0.9528071035,0.0326901261,0.0006419708928,0.7808547233,0.1318187228,0.002588664936,0.632251583,0.06080686889,0.001194129377,0.3708940795,0.05943897672,0.001167266619
qwen3_vl_8b,hmid_cos,hall,5,2593,700851,270.2857694,70,400,0.003699787829,0.004022042332,1.320731826e-07,0.002758917932,0.0009417158078,1.849347831e-05,0.008095984658,0.002303808752,4.524235108e-05,0.01863054459,0.008440965276,0.0001657642432,0.02557346878,0.01382777396,0.0002715507542,0.711762555,0.1457231465,0.002861720943,2.094141806,0.3097057422,0.006082022174,4.804734544,1.717691742,0.03373214585,6.586131204,2.915142823,0.05724777063,0.02557346878,0.01382777396,0.0002715507542,0.1006974274,0.04332091334,0.0008507390068,0.1711370898,0.06446608584,0.001265989325,0.3754188845,0.1039960397,0.002042281215,0.9298960948,0.03414751923,0.000670591277,0.688861004,0.1288434491,0.002530236311,0.6858600888,0.05130380848,0.001007507638,0.3530619914,0.05592306666,0.001098220941
qwen3_vl_8b,hmid_cos,hall,6,2593,700851,270.2857694,70,400,0.003699787829,0.002855065643,1.482912921e-07,0.003401951717,0.0009840831814,1.932549164e-05,0.007174840949,0.001968785581,3.866314353e-05,0.01143360346,0.005682994658,0.0001116030309,0.01408397176,0.016203561,0.0003182066197,0.8769557735,0.09065327341,0.001780255074,1.855858082,0.2261736862,0.004441614046,2.952134144,1.229313422,0.02414133957,3.653385516,4.355747892,0.08553846977,0.01408397176,0.016203561,0.0003182066197,0.0600636265,0.03593707388,0.0007057346714,0.109008614,0.04731260428,0.0009291281018,0.2789807615,0.07458171966,0.001464640822,0.9619082562,0.02721897959,0.0005345281501,0.8151183887,0.0817174668,0.001604773104,0.6725667671,0.04501589842,0.0008840252379,0.4244269099,0.04428792111,0.0008697291706
qwen3_vl_8b,hmid_cos,hall,7,2593,700851,270.2857694,70,400,0.003699787829,0.001513807959,1.469161361e-07,0.00389940224,0.001034344027,2.031251751e-05,0.00531687427,0.001420178257,2.788955603e-05,0.006465053155,0.002844409843,5.585871162e-05,0.00711737486,0.006759034296,0.0001327343696,1.006020357,0.04028583689,0.0007911359717,1.373097801,0.1028933674,0.002020626863,1.669171098,0.5597343016,0.01099209982,1.840602909,1.663368424,0.03266534087,0.00711737486,0.006759034296,0.0001327343696,0.03305363638,0.01763507169,0.0003463187228,0.06319196004,0.02508380646,0.0004925974766,0.1833911118,0.04857802038,0.0009539784283,0.9902731316,0.01163168072,0.0002284237276,0.9486301337,0.03965730328,0.0007787927864,0.6271472427,0.05263058621,0.001033562988,0.5088088694,0.04084437844,0.0008021046482
qwen3_vl_8b,hmid_cos,hall,8,2593,700851,270.2857694,70,400,0.003699787829,0.001133095393,1.436565071e-07,0.003834997378,0.001015005471,1.993274565e-05,0.004740460512,0.001266416114,2.486996475e-05,0.005875481337,0.002297237921,4.511331264e-05,0.006681844324,0.0034360041,6.747647938e-05,0.9895511395,0.03758242826,0.0007380462514,1.223132854,0.06757702588,0.001327082175,1.517736946,0.4600470596,0.009034435068,1.733915998,0.8612861748,0.01691399577,0.006681844324,0.0034360041,6.747647938e-05,0.03033607029,0.01241621971,0.0002438305569,0.05728657229,0.01992273061,0.0003912439223,0.1643020252,0.04340228604,0.0008523370094,0.9964119884,0.004474344907,8.786748592e-05,0.9804821346,0.02189089432,0.0004298948535,0.5495062427,0.06093657404,0.001196676535,0.4784475271,0.06457773025,0.001268181806
qwen3_vl_8b,hmid_cos,hall,9,2593,700851,270.2857694,70,400,0.003699787829,0.001275233274,1.234002411e-07,0.00380825231,0.001005641359,1.974885258e-05,0.004991320069,0.001357301404,2.665477617e-05,0.006441047971,0.002293300036,4.50359802e-05,0.007493561611,0.004064525676,7.981942832e-05,0.9826925582,0.04269071495,0.0008383631286,1.287894935,0.09449124864,0.00185562549,1.666778883,0.4515429612,0.008867431011,1.95182228,1.182719516,0.02322632532,0.007493561611,0.004064525676,7.981942832e-05,0.03348315389,0.01290845776,0.0002534971607,0.06263872698,0.02057339732,0.0004040217589,0.1759767448,0.0448935609,0.0008816227655,0.9942730067,0.005744851495,0.0001128177797,0.9690080165,0.02681431667,0.0005265813525,0.5553015193,0.0747718484,0.001468374583,0.4645529463,0.06894781884,0.001354001899
qwen3_vl_8b,hmid_cos,hall,10,2593,700851,270.2857694,70,400,0.003699787829,0.001113580201,1.234002411e-07,0.003811266927,0.001010885738,1.985184204e-05,0.004720028881,0.001287116928,2.527648872e-05,0.005970491765,0.002269234305,4.456337576e-05,0.0068943926,0.003241298242,6.365283266e-05,0.9833020885,0.03456448605,0.0006787796996,1.217109346,0.07071358615,0.001388678156,1.54231884,0.419772922,0.008243528847,1.788367816,0.7298916165,0.01433366061,0.0068943926,0.003241298242,6.365283266e-05,0.03093957815,0.0118791824,0.0002332841822,0.05811107649,0.01946691085,0.0003822925032,0.1649247466,0.04349827651,0.0008542220768,0.9967230631,0.003772891355,7.409229394e-05,0.9821217672,0.01877678358,0.0003687397375,0.5305481136,0.0541667258,0.001063729801,0.4618054149,0.06176090557,0.001212864813
qwen3_vl_8b,hmid_cos,hall,11,2593,700851,270.2857694,70,400,0.003699787829,0.001275137623,1.363223419e-07,0.003890570318,0.001005896922,1.975387134e-05,0.005093673527,0.001457601741,2.862448093e-05,0.006042823377,0.00188043519,3.69281126e-05,0.006575324637,0.002116142607,4.15569507e-05,1.004582758,0.02671705379,0.0005246712974,1.312049769,0.1033773635,0.002030131611,1.555331773,0.2098498879,0.004121046198,1.695015999,0.2990283282,0.005872338402,0.006575324637,0.002116142607,4.15569507e-05,0.03080006525,0.009223168714,0.0001811252069,0.05918565969,0.01685716339,0.0003310421072,0.1737122099,0.04530240498,0.0008896516729,0.9937406307,0.004095180751,8.042143475e-05,0.9660282565,0.02140465155,0.0004203459854,0.6036331485,0.05721131848,0.001123519716,0.5042241226,0.04296941033,0.0008438361672
qwen3_vl_8b,hmid_cos,hall,12,2593,700851,270.2857694,70,400,0.003699787829,0.001321245609,1.281732693e-07,0.003893933249,0.001008606243,1.980707717e-05,0.005150400364,0.001512612653,2.970478892e-05,0.006113191389,0.002045159826,4.016298608e-05,0.006651543384,0.002446496467,4.804446201e-05,1.005526148,0.03341226556,0.0006561523161,1.325922903,0.1182014273,0.002321247571,1.572619553,0.265332982,0.005210626928,1.714195854,0.4172432247,0.008193850481,0.006651543384,0.002446496467,4.804446201e-05,0.03115910006,0.01012956834,0.0001989251437,0.05988403281,0.01821762578,0.0003577589591,0.1756905232,0.04746066178,0.0009320356651,0.9929797587,0.005130596593,0.0001007550006,0.9621062976,0.02631924351,0.0005168590726,0.6095292613,0.06224854591,0.001222441127,0.5055232252,0.04822297015,0.000947005928
qwen3_vl_8b,hmid_cos,hall,13,2593,700851,270.2857694,70,400,0.003699787829,0.001397697505,1.325970516e-07,0.003879616163,0.001012630925,1.988611415e-05,0.005293354574,0.001570336216,3.083836812e-05,0.006312291835,0.002012496152,3.952153466e-05,0.006806512733,0.002223379998,4.366288579e-05,1.001583009,0.0289951276,0.0005694082641,1.363158808,0.1479013709,0.00290449706,1.625614091,0.2579664194,0.005065961877,1.754091123,0.3079759128,0.006048051668,0.006806512733,0.002223379998,4.366288579e-05,0.03211250259,0.009893432921,0.0001942879004,0.06187864953,0.01852885418,0.0003638708834,0.1812355758,0.04947278005,0.0009715497788,0.9915171933,0.006580825751,0.0001292346983,0.9545437641,0.03348971911,0.0006576733541,0.6167387307,0.05410561731,0.001062529748,0.5038173945,0.03849900099,0.0007560459682
