model,scope,metric,layer,n_mixed_images,n_valid,mean_hall_minus_real,median_hall_minus_real,fraction_hall_gt_real
qwen2_5_vl_7b,all,amp_mean,1,703,703,-0.028626509543002266,-0.037195881339763814,0.4238975817923186
qwen2_5_vl_7b,all,amp_mean,2,703,703,-0.04002347928022477,-0.043917140586440584,0.3627311522048364
qwen2_5_vl_7b,all,amp_mean,3,703,703,0.008755162641298763,0.008344889715672932,0.5462304409672831
qwen2_5_vl_7b,all,amp_mean,4,703,703,0.003394728402492276,0.004271555903397395,0.5248933143669986
qwen2_5_vl_7b,all,amp_mean,5,703,703,-0.020533500124868456,-0.021477304934095054,0.42105263157894735
qwen2_5_vl_7b,all,amp_mean,6,703,703,-0.013314614800242484,-0.01236218268644984,0.4594594594594595
qwen2_5_vl_7b,all,amp_mean,7,703,703,0.004190368124529923,0.003343251594344232,0.5177809388335705
qwen2_5_vl_7b,all,amp_mean,8,703,703,0.018719151885059786,0.013352503026651918,0.5647226173541963
qwen2_5_vl_7b,all,amp_mean,9,703,703,0.011072007368005213,0.010459326686739656,0.5419630156472262
qwen2_5_vl_7b,all,amp_mean,10,703,703,0.00631542615859827,-0.001466821050424616,0.49644381223328593
qwen2_5_vl_7b,all,amp_mean,11,703,703,-0.011000722671860072,-0.010192367691238768,0.41536273115220484
qwen2_5_vl_7b,all,amp_mean,12,703,703,0.008265807353498657,0.00596561224498382,0.5391180654338549
qwen2_5_vl_7b,all,amp_mean,13,703,703,0.0034997789998206866,0.002599974126104576,0.5135135135135135
qwen2_5_vl_7b,all,amp_mean,14,703,703,0.005481776705495938,0.0049445745934587615,0.5448079658605974
qwen2_5_vl_7b,all,amp_mean,15,703,703,0.0066471000983329255,0.00603835230673222,0.5547652916073968
qwen2_5_vl_7b,all,amp_mean,16,703,703,-0.01116393920901942,-0.012070400055371966,0.39260312944523473
qwen2_5_vl_7b,all,amp_mean,17,703,703,-0.011616344298771676,-0.012389640523324696,0.40540540540540543
qwen2_5_vl_7b,all,amp_mean,18,703,703,-0.004308042268451582,-0.002562567282216932,0.4751066856330014
qwen2_5_vl_7b,all,amp_mean,19,703,703,0.004707543212273631,0.002371826175292413,0.5220483641536273
qwen2_5_vl_7b,all,amp_mean,20,703,703,-0.002378776952681078,-0.0035151853414864265,0.4623044096728307
qwen2_5_vl_7b,all,amp_mean,21,703,703,-0.0047623950442115025,-0.005408542955611995,0.4423897581792319
qwen2_5_vl_7b,all,amp_mean,22,703,703,0.014932016117372243,0.01819230254420856,0.6557610241820768
qwen2_5_vl_7b,all,amp_mean,23,703,703,-0.0015776043885561673,-0.0026457023098518384,0.4694167852062589
qwen2_5_vl_7b,all,amp_mean,24,703,703,0.029570471313399533,0.025017256503001517,0.6600284495021337
qwen2_5_vl_7b,all,amp_mean,25,703,703,0.011107293372159623,0.009825088503460977,0.5903271692745377
qwen2_5_vl_7b,all,amp_mean,26,703,703,0.017692487683702504,0.015001652773156404,0.6187766714082503
qwen2_5_vl_7b,all,amp_mean,27,703,703,0.020788232904157298,0.016533427753578633,0.6458036984352774
qwen2_5_vl_7b,all,amp_mean,28,703,703,0.010351406818288512,-0.01159365675431867,0.4751066856330014
qwen2_5_vl_7b,all,amp_median,1,703,703,-0.031338799889613966,-0.03347302384270945,0.4238975817923186
qwen2_5_vl_7b,all,amp_median,2,703,703,-0.038490548696412295,-0.043754703894572144,0.3627311522048364
qwen2_5_vl_7b,all,amp_median,3,703,703,0.008577634845970778,0.007779788890327544,0.5433854907539118
qwen2_5_vl_7b,all,amp_median,4,703,703,0.004691449076380074,0.007659819190201367,0.5391180654338549
qwen2_5_vl_7b,all,amp_median,5,703,703,-0.01871399661481576,-0.019206955688524707,0.4352773826458037
qwen2_5_vl_7b,all,amp_median,6,703,703,-0.014142273174112107,-0.01338342274382387,0.45092460881934565
qwen2_5_vl_7b,all,amp_median,7,703,703,0.0045353322730386555,0.003112988237667813,0.5135135135135135
qwen2_5_vl_7b,all,amp_median,8,703,703,0.020025829813982748,0.01565019870240847,0.5732574679943101
qwen2_5_vl_7b,all,amp_median,9,703,703,0.011081508589224619,0.008937473406085417,0.5362731152204836
qwen2_5_vl_7b,all,amp_median,10,703,703,-0.0030852308578143244,-0.005287574307000109,0.47368421052631576
qwen2_5_vl_7b,all,amp_median,11,703,703,-0.01174203845617424,-0.011697324606126491,0.422475106685633
qwen2_5_vl_7b,all,amp_median,12,703,703,0.00978161954710628,0.008739340001907792,0.5547652916073968
qwen2_5_vl_7b,all,amp_median,13,703,703,0.004663110317151731,0.004404160445860894,0.5220483641536273
qwen2_5_vl_7b,all,amp_median,14,703,703,0.007853026189531454,0.008108482818249607,0.5647226173541963
qwen2_5_vl_7b,all,amp_median,15,703,703,0.008322295674609915,0.009430806371238498,0.577524893314367
qwen2_5_vl_7b,all,amp_median,16,703,703,-0.011445547999533024,-0.011310359441519258,0.39829302987197723
qwen2_5_vl_7b,all,amp_median,17,703,703,-0.009641942381643053,-0.009237516178001615,0.422475106685633
qwen2_5_vl_7b,all,amp_median,18,703,703,-0.0028356624577912676,-0.0012574560597194973,0.48364153627311524
qwen2_5_vl_7b,all,amp_median,19,703,703,0.005620816228231912,0.004003077606334893,0.5305832147937412
qwen2_5_vl_7b,all,amp_median,20,703,703,0.00033507812938637883,-0.0006346945219412037,0.4950213371266003
