model,group,classifier,AUROC_mean,AUROC_std,HALL_AUPR_mean,HALL_AUPR_std,ensemble_AUROC,ensemble_HALL_AUPR
qwen2_5_vl_7b,visual,three_hidden,0.8621437565852029,0.004985856619200929,0.3925398329073056,0.00529413585352517,0.8670110245933236,0.3977722387508312
qwen2_5_vl_7b,visual,one_hidden,0.820522704494642,0.005159282091537069,0.3224458141288069,0.01452960901430205,0.8212319790301441,0.32125993400461467
qwen2_5_vl_7b,visual,xgb,0.8655462184873949,0.0,0.40788088755522994,0.0,0.8655462184873949,0.40788088755522994
qwen2_5_vl_7b,visual_prompt_sum,three_hidden,0.8621411867499292,0.004770476801467876,0.4002677532877887,0.006764198105418463,0.8672731477912267,0.4076170856799694
qwen2_5_vl_7b,visual_prompt_sum,one_hidden,0.8179323105388944,0.0005143267058162033,0.3301966875304089,0.001612329510158081,0.8179631485621771,0.3345852322120827
qwen2_5_vl_7b,visual_prompt_sum,xgb,0.863711356102074,0.0,0.45637878708845775,5.551115123125783e-17,0.863711356102074,0.4563787870884578
qwen2_5_vl_7b,generation,three_hidden,0.8202143242618148,0.0070302013719217606,0.3522007680017499,0.01825931512060806,0.8280163441523398,0.37337466994046925
qwen2_5_vl_7b,generation,one_hidden,0.8064400071955387,0.0013096985899661035,0.2908907310604673,0.00337192587910399,0.8077403438439595,0.2916510510342972
qwen2_5_vl_7b,generation,xgb,0.8245162285097526,0.0,0.34939284877680693,0.0,0.8245162285097526,0.34939284877680693
qwen2_5_vl_7b,vp_generation,three_hidden,0.873558964870352,0.002483125856433473,0.4683346564474938,0.013468131560214211,0.8780664559401742,0.48442093785629026
qwen2_5_vl_7b,vp_generation,one_hidden,0.8375195949939608,0.0062006328324109745,0.36978097378010016,0.009756554745832874,0.8375915503816205,0.3720044312614192
qwen2_5_vl_7b,vp_generation,xgb,0.87539896692622,1.1102230246251565e-16,0.48397386678746174,5.551115123125783e-17,0.8753989669262199,0.4839738667874617
qwen2_5_vl_7b,ae_only_visual,three_hidden,0.7968236836018812,0.0010206873279429496,0.3330165202740966,0.010342272776948987,0.8044560943643513,0.3337900876292609
qwen2_5_vl_7b,ae_only_visual,one_hidden,0.7137768869015496,0.005628213827534823,0.2914973633377151,0.00522662798181656,0.7147174466116721,0.2918162887160056
qwen2_5_vl_7b,ae_only_visual,xgb,0.758245316475214,1.1102230246251565e-16,0.2765426576967867,0.0,0.7582453164752139,0.2765426576967867
qwen2_5_vl_7b,ae_only_visual_prompt_sum,three_hidden,0.8367126667180633,0.00344110059302709,0.42462984445983415,0.012092880950978145,0.840922056896153,0.42497112417621524
qwen2_5_vl_7b,ae_only_visual_prompt_sum,one_hidden,0.7794053401176986,0.0016155089120350394,0.3164651650508045,0.0013488171802239729,0.7791380772492483,0.31763734033454977
qwen2_5_vl_7b,ae_only_visual_prompt_sum,xgb,0.8183332048415698,0.0,0.3663191709367368,0.0,0.8183332048415698,0.3663191709367368
qwen2_5_vl_7b,ae_only_generation,three_hidden,0.7591550381620538,0.006894258358573533,0.26533682303308376,0.018712942848277153,0.7714439904402128,0.27173747183496216
qwen2_5_vl_7b,ae_only_generation,one_hidden,0.7089044792228817,0.008039887263145412,0.19390466039439155,0.008561160979483786,0.7116028062601187,0.19516290296281205
qwen2_5_vl_7b,ae_only_generation,xgb,0.7212242695243235,1.1102230246251565e-16,0.2816416160312679,0.0,0.7212242695243234,0.2816416160312679
qwen2_5_vl_7b,ae_only_vp_generation,three_hidden,0.8301698661115823,0.0020323611758643204,0.42161480085321307,0.008473308543130897,0.8341839488088815,0.4321485145784782
qwen2_5_vl_7b,ae_only_vp_generation,one_hidden,0.7896898208824815,0.005739523282216115,0.36128893596527406,0.01030826454550649,0.789669262200293,0.3619776032964049
qwen2_5_vl_7b,ae_only_vp_generation,xgb,0.8153573355947884,1.1102230246251565e-16,0.3770162141946993,5.551115123125783e-17,0.8153573355947883,0.3770162141946992
qwen2_5_vl_7b,legacy_visual,three_hidden,0.8568550355922185,0.00772199880367474,0.3720979524234962,0.01072830173682342,0.8617223036003391,0.38250445478716016
qwen2_5_vl_7b,legacy_visual,one_hidden,0.8269267339963507,0.005215446340798909,0.330141812383205,0.015314845328375282,0.8282322103153188,0.3249286631503604
qwen2_5_vl_7b,legacy_visual,xgb,0.8571736951661398,0.0,0.3884103682094539,0.0,0.8571736951661398,0.3884103682094539
llava_1_5_7b,visual,three_hidden,0.9003441552301487,0.0011584520768712645,0.6937592120719217,0.002276003138482713,0.9027374279817276,0.6976960874318678
llava_1_5_7b,visual,one_hidden,0.889073927347543,0.003534584944251531,0.6672050453661064,0.007770545231648054,0.8908843697117315,0.6717092265319942
llava_1_5_7b,visual,xgb,0.9021162856667742,0.0,0.6980011696416958,0.0,0.9021162856667742,0.6980011696416958
llava_1_5_7b,visual_prompt_sum,three_hidden,0.890174376330728,0.004087473198530626,0.6810039787576126,0.004864515523791999,0.8930974948890258,0.6855216896606376
llava_1_5_7b,visual_prompt_sum,one_hidden,0.8702937465152448,0.0018091380622454376,0.6509496444840659,0.002889607668858614,0.870919779714568,0.6523930500063666
llava_1_5_7b,visual_prompt_sum,xgb,0.8940292083614558,0.0,0.6783091990448242,0.0,0.8940292083614558,0.6783091990448242
llava_1_5_7b,generation,three_hidden,0.8731019292908545,0.002995479574870066,0.6335302065467456,0.003968708371778929,0.8759610587786484,0.6398229514809128
llava_1_5_7b,generation,one_hidden,0.8637831642717636,0.0018197621087604067,0.6365885111502017,0.0012468905366424935,0.8653563987440209,0.6408397244306394
