model,scope,metric,label,layer,n_total,n_valid,n_undefined,mean,q25,median,q75
qwen2_5_vl_7b,all,span_c,REAL,1,1006,1006,0,-0.1384309376844892,-0.16583728828019562,-0.14655304087315943,-0.11251670495822355
qwen2_5_vl_7b,all,span_c,REAL,2,1006,1006,0,-0.03916878918983549,-0.0415047063702893,-0.03844745908832248,-0.03661781333399737
qwen2_5_vl_7b,all,span_c,REAL,3,1006,1006,0,-0.048887171110495266,-0.05208515432001801,-0.047415919226066236,-0.043165385239321986
qwen2_5_vl_7b,all,span_c,REAL,4,1006,1006,0,-0.08437133111918603,-0.09928465600198877,-0.08693677866113542,-0.0685236603398011
qwen2_5_vl_7b,all,span_c,REAL,5,1006,1006,0,-0.14400938885780762,-0.1576724758411282,-0.1448443711505914,-0.12634456943109498
qwen2_5_vl_7b,all,span_c,REAL,6,1006,1006,0,-0.16096529307417495,-0.17404598924422351,-0.16277475835421557,-0.1417394747491379
qwen2_5_vl_7b,all,span_c,REAL,7,1006,1006,0,-0.268671064768991,-0.2918858500112389,-0.2775747003907605,-0.24481006201365627
qwen2_5_vl_7b,all,span_c,REAL,8,1006,1006,0,-0.36750883189637196,-0.40845998524139954,-0.3761778399886815,-0.3379527478156325
qwen2_5_vl_7b,all,span_c,REAL,9,1006,1006,0,-0.2910511675101155,-0.3244537467371483,-0.30729207076381815,-0.25735230506951967
qwen2_5_vl_7b,all,span_c,REAL,10,1006,1006,0,-0.47080737389979377,-0.5052779664306336,-0.4763363991977818,-0.4290714834639401
qwen2_5_vl_7b,all,span_c,REAL,11,1006,1006,0,-0.37825010925389063,-0.39749313884794135,-0.3837131462738428,-0.3587936096575527
qwen2_5_vl_7b,all,span_c,REAL,12,1006,1006,0,-0.2913701740889301,-0.3072210316390267,-0.2926734638817873,-0.2774438989112276
qwen2_5_vl_7b,all,span_c,REAL,13,1006,1006,0,-0.29559075888652064,-0.3114142076479664,-0.29848833355088966,-0.28194946557137246
qwen2_5_vl_7b,all,span_c,REAL,14,1006,1006,0,-0.32307039229251266,-0.34351701570465576,-0.32420210253360193,-0.30051283430470827
qwen2_5_vl_7b,all,span_c,REAL,15,1006,1006,0,-0.25346317218873066,-0.2671033670129109,-0.2505285998039958,-0.23842930763998568
qwen2_5_vl_7b,all,span_c,REAL,16,1006,1006,0,-0.22727258069646972,-0.2409792093699589,-0.2279633481329176,-0.21267495023786281
qwen2_5_vl_7b,all,span_c,REAL,17,1006,1006,0,-0.22013823677544744,-0.22803039121138388,-0.2164368671414687,-0.2074528048020916
qwen2_5_vl_7b,all,span_c,REAL,18,1006,1006,0,-0.21975996638957246,-0.23050957329104568,-0.22084349372840895,-0.20838222668852052
qwen2_5_vl_7b,all,span_c,REAL,19,1006,1006,0,-0.20585505058810005,-0.21419259368627758,-0.20538383628333057,-0.19717196920850477
qwen2_5_vl_7b,all,span_c,REAL,20,1006,1006,0,-0.14657244465301372,-0.155885932173192,-0.1438681406836565,-0.13553795842584102
qwen2_5_vl_7b,all,span_c,REAL,21,1006,1006,0,-0.12970835357679636,-0.13714637755800393,-0.12892365408070644,-0.12047713045597394
qwen2_5_vl_7b,all,span_c,REAL,22,1006,1006,0,-0.07600448459910202,-0.08241549512381843,-0.07558013422900725,-0.06890198353122876
qwen2_5_vl_7b,all,span_c,REAL,23,1006,1006,0,-0.043551656688497434,-0.050619017431014345,-0.043672088354446525,-0.036750496341310265
qwen2_5_vl_7b,all,span_c,REAL,24,1006,1006,0,-0.04008288851208796,-0.04271639980077065,-0.03960401940101731,-0.03659543675832318
qwen2_5_vl_7b,all,span_c,REAL,25,1006,1006,0,-0.007916838177483013,-0.011520682317794441,-0.008496025647801192,-0.005109993354928345
qwen2_5_vl_7b,all,span_c,REAL,26,1006,1006,0,0.00135312919576697,-0.0025290418494934466,0.0007663209094871688,0.004668348002781566
qwen2_5_vl_7b,all,span_c,REAL,27,1006,1006,0,0.015825013910441825,0.006651227499720408,0.014357477278949399,0.023458269173581528
qwen2_5_vl_7b,all,span_c,REAL,28,1006,1006,0,-0.019724697417152257,-0.04438080118633811,-0.016456482698289754,0.002511974089388026
qwen2_5_vl_7b,all,span_c,HALL,1,122,122,0,-0.14364153868476395,-0.1791468825075653,-0.14925354797706922,-0.1125753584305283
qwen2_5_vl_7b,all,span_c,HALL,2,122,122,0,-0.04013753574487537,-0.0424927701816728,-0.03924688363608353,-0.03721805802871765
qwen2_5_vl_7b,all,span_c,HALL,3,122,122,0,-0.05115856628255037,-0.05756304395124156,-0.049107613681324436,-0.044600768837797365
qwen2_5_vl_7b,all,span_c,HALL,4,122,122,0,-0.08463957661136103,-0.09823781643548046,-0.0865496386626387,-0.07348743681003304
qwen2_5_vl_7b,all,span_c,HALL,5,122,122,0,-0.14126724219433204,-0.15888117785110806,-0.14117505352175141,-0.1278916219792485
qwen2_5_vl_7b,all,span_c,HALL,6,122,122,0,-0.1624057942313186,-0.18444284208974704,-0.1637086597044622,-0.14171605667911094
qwen2_5_vl_7b,all,span_c,HALL,7,122,122,0,-0.2649343395179426,-0.29250203839483846,-0.2713345988737136,-0.23641143172666623
qwen2_5_vl_7b,all,span_c,HALL,8,122,122,0,-0.3666959539938359,-0.39915472920512485,-0.369553417868479,-0.3466723302388942
qwen2_5_vl_7b,all,span_c,HALL,9,122,122,0,-0.2892051475048529,-0.32397249248808135,-0.2982673732785851,-0.26111747706336486
qwen2_5_vl_7b,all,span_c,HALL,10,122,122,0,-0.4498589574535067,-0.48052487277755795,-0.45224606253180377,-0.40780416464710356
qwen2_5_vl_7b,all,span_c,HALL,11,122,122,0,-0.372612409646382,-0.3944760312861002,-0.3774362207884312,-0.3566821440388821
qwen2_5_vl_7b,all,span_c,HALL,12,122,122,0,-0.29864285291037673,-0.3119086312150917,-0.29969469488016137,-0.289420571165929
qwen2_5_vl_7b,all,span_c,HALL,13,122,122,0,-0.29625173944184974,-0.31564832632780254,-0.30021076337575014,-0.2840090660403105
qwen2_5_vl_7b,all,span_c,HALL,14,122,122,0,-0.33291605146815356,-0.35324419445619826,-0.3336525641310599,-0.3152084655606347
qwen2_5_vl_7b,all,span_c,HALL,15,122,122,0,-0.2562527204578843,-0.2709297559826865,-0.25508087965019344,-0.24298867846744898
qwen2_5_vl_7b,all,span_c,HALL,16,122,122,0,-0.2244280823105272,-0.23862893552575104,-0.22542347980134964,-0.20955426702867286
qwen2_5_vl_7b,all,span_c,HALL,17,122,122,0,-0.22313186169320598,-0.23519891062842507,-0.21845896456381061,-0.20835193761810825
qwen2_5_vl_7b,all,span_c,HALL,18,122,122,0,-0.22140783354983531,-0.23197612828904077,-0.22420053949141405,-0.21147244125688688
qwen2_5_vl_7b,all,span_c,HALL,19,122,122,0,-0.2058023778666412,-0.2180218225198609,-0.20400901826597592,-0.19467126620526148
qwen2_5_vl_7b,all,span_c,HALL,20,122,122,0,-0.15182536308147723,-0.162484017902675,-0.15010989577032924,-0.1386484870962749
qwen2_5_vl_7b,all,span_c,HALL,21,122,122,0,-0.1334273419531459,-0.1397170247501913,-0.13225978963022894,-0.1239546279989437
qwen2_5_vl_7b,all,span_c,HALL,22,122,122,0,-0.07864983058380601,-0.08418093286788975,-0.07752397511256404,-0.07104432572983654
qwen2_5_vl_7b,all,span_c,HALL,23,122,122,0,-0.04830817024595397,-0.05385532472224114,-0.048911270657147295,-0.04262549434797197
qwen2_5_vl_7b,all,span_c,HALL,24,122,122,0,-0.03947060877534096,-0.04256292310764499,-0.03919019832282006,-0.03580894490626911
qwen2_5_vl_7b,all,span_c,HALL,25,122,122,0,-0.006731413865805744,-0.01029305708103109,-0.006935447554618973,-0.003590154397125593
qwen2_5_vl_7b,all,span_c,HALL,26,122,122,0,0.0011028559024948111,-0.0026227789631339993,0.000499384830015593,0.00421114223105162
qwen2_5_vl_7b,all,span_c,HALL,27,122,122,0,0.014723325022261145,0.006895961071927806,0.01379128937602329,0.022315509131543825
qwen2_5_vl_7b,all,span_c,HALL,28,122,122,0,-0.015608067446840228,-0.040843244032352205,-0.014252658995336828,0.011309885267464296
qwen2_5_vl_7b,all,scalar_error_full,REAL,1,1006,1006,0,0.9811013330262267,0.9764232934953113,0.9812214340777937,0.9891719124042158
qwen2_5_vl_7b,all,scalar_error_full,REAL,2,1006,1006,0,0.9927914885658633,0.9913211096335998,0.9926729145814959,0.9944620267285958
qwen2_5_vl_7b,all,scalar_error_full,REAL,3,1006,1006,0,0.9881980969325181,0.9852607663779156,0.9877737071898698,0.9911668185873523
qwen2_5_vl_7b,all,scalar_error_full,REAL,4,1006,1006,0,0.9758653458271855,0.9711094482922233,0.9750335162987414,0.9802544232637085
qwen2_5_vl_7b,all,scalar_error_full,REAL,5,1006,1006,0,0.9574208895537966,0.9525718141795192,0.9567304836000722,0.9625800258140829
qwen2_5_vl_7b,all,scalar_error_full,REAL,6,1006,1006,0,0.9441431314176947,0.939105736546923,0.9436939382791553,0.9479071791066651
