model,scope,metric,layer,n_mixed_images,n_valid,mean_hall_minus_real,median_hall_minus_real,fraction_hall_gt_real
qwen2_5_vl_7b,all,span_c,1,95,95,-0.008002029658343285,-0.011933866939671703,0.4421052631578947
qwen2_5_vl_7b,all,span_c,2,95,95,-0.0007240886980910132,-0.0004549810557605838,0.47368421052631576
qwen2_5_vl_7b,all,span_c,3,95,95,-0.001411891640533614,-0.0010777316005887577,0.4842105263157895
qwen2_5_vl_7b,all,span_c,4,95,95,0.0005262649005142534,-0.003009002048952089,0.47368421052631576
qwen2_5_vl_7b,all,span_c,5,95,95,0.0033333924842109054,0.004729165621162101,0.5368421052631579
qwen2_5_vl_7b,all,span_c,6,95,95,0.0005265934835091384,-0.0014792188927287286,0.4842105263157895
qwen2_5_vl_7b,all,span_c,7,95,95,0.004273467632036222,0.003340908154386979,0.5368421052631579
qwen2_5_vl_7b,all,span_c,8,95,95,-0.004501712836639173,0.003711652803312926,0.5157894736842106
qwen2_5_vl_7b,all,span_c,9,95,95,-0.0008527755692625205,0.0010653825149730678,0.5052631578947369
qwen2_5_vl_7b,all,span_c,10,95,95,0.023620110750943467,0.01815880616221044,0.5894736842105263
qwen2_5_vl_7b,all,span_c,11,95,95,0.005453336461410241,0.003788963484146257,0.5368421052631579
qwen2_5_vl_7b,all,span_c,12,95,95,-0.007989767181406815,-0.010858624551355167,0.3263157894736842
qwen2_5_vl_7b,all,span_c,13,95,95,0.0004186422755919578,-0.003974925187438916,0.43157894736842106
qwen2_5_vl_7b,all,span_c,14,95,95,-0.011222355713062572,-0.01554982549393974,0.3473684210526316
qwen2_5_vl_7b,all,span_c,15,95,95,-0.0009266184086031412,-0.002848433888751778,0.4421052631578947
qwen2_5_vl_7b,all,span_c,16,95,95,0.005428587205089481,0.009172221692204524,0.5789473684210527
qwen2_5_vl_7b,all,span_c,17,95,95,-0.001188046640877388,0.0014271869051276365,0.5052631578947369
qwen2_5_vl_7b,all,span_c,18,95,95,-0.0009344963507882059,0.0008927094327996488,0.5263157894736842
qwen2_5_vl_7b,all,span_c,19,95,95,0.0002738843458163618,0.00045435851650518777,0.5157894736842106
qwen2_5_vl_7b,all,span_c,20,95,95,-0.004149957478900898,-0.004216311883473628,0.42105263157894735
qwen2_5_vl_7b,all,span_c,21,95,95,-0.003965423335972216,-0.0016909124869461112,0.45263157894736844
qwen2_5_vl_7b,all,span_c,22,95,95,-0.0019182397938720995,-0.0020831912482713877,0.4421052631578947
qwen2_5_vl_7b,all,span_c,23,95,95,-0.0038078286696408546,-0.003276693742200784,0.3894736842105263
qwen2_5_vl_7b,all,span_c,24,95,95,0.00146541610386873,0.0017919513093895417,0.6421052631578947
qwen2_5_vl_7b,all,span_c,25,95,95,0.0007247529081057185,0.0013473794174951748,0.6210526315789474
qwen2_5_vl_7b,all,span_c,26,95,95,-0.000780928917035907,-0.0005105809759551865,0.4842105263157895
qwen2_5_vl_7b,all,span_c,27,95,95,-0.002914910207515558,-0.0011767151464495453,0.45263157894736844
qwen2_5_vl_7b,all,span_c,28,95,95,-0.0019449844720738948,0.002327260140953089,0.5263157894736842
qwen2_5_vl_7b,all,scalar_error_full,1,95,95,-0.0018269757856425612,-0.002335065033258976,0.4421052631578947
qwen2_5_vl_7b,all,scalar_error_full,2,95,95,-0.00024400941844597844,-0.00031445368621152436,0.4631578947368421
qwen2_5_vl_7b,all,scalar_error_full,3,95,95,-0.00011776251111874519,-3.253195934249664e-05,0.49473684210526314
qwen2_5_vl_7b,all,scalar_error_full,4,95,95,0.000695750456450795,0.0011423900580214141,0.5473684210526316
qwen2_5_vl_7b,all,scalar_error_full,5,95,95,0.0013936781399512283,0.001685874177142055,0.5368421052631579
qwen2_5_vl_7b,all,scalar_error_full,6,95,95,0.0009683232428590097,0.0006392360005196274,0.5368421052631579
qwen2_5_vl_7b,all,scalar_error_full,7,95,95,0.005408020845184999,0.002771861295445599,0.5578947368421052
qwen2_5_vl_7b,all,scalar_error_full,8,95,95,0.004036809783963366,0.007773576046883779,0.5473684210526316
qwen2_5_vl_7b,all,scalar_error_full,9,95,95,0.0035537162167634173,0.00337474299607321,0.5368421052631579
qwen2_5_vl_7b,all,scalar_error_full,10,95,95,0.015268172834067124,0.014168362385659883,0.6631578947368421
qwen2_5_vl_7b,all,scalar_error_full,11,95,95,0.005192412976864659,0.00518491746158023,0.5684210526315789
qwen2_5_vl_7b,all,scalar_error_full,12,95,95,-0.0034993853725017727,-0.0022610663709079493,0.45263157894736844
qwen2_5_vl_7b,all,scalar_error_full,13,95,95,0.00073582209584346,0.00028016852506851375,0.5052631578947369
qwen2_5_vl_7b,all,scalar_error_full,14,95,95,-0.007404103636315582,-0.009554132741163457,0.3263157894736842
qwen2_5_vl_7b,all,scalar_error_full,15,95,95,4.962160379053831e-05,-0.0016087574211247624,0.45263157894736844
qwen2_5_vl_7b,all,scalar_error_full,16,95,95,-0.0004848591101621134,-0.0019121373467533287,0.4631578947368421
qwen2_5_vl_7b,all,scalar_error_full,17,95,95,-0.0030861024040427115,-0.0020126140424789885,0.42105263157894735
qwen2_5_vl_7b,all,scalar_error_full,18,95,95,-0.002424218628131861,-0.0016127036386450744,0.47368421052631576
qwen2_5_vl_7b,all,scalar_error_full,19,95,95,0.0007573620170359995,0.0014589474979066486,0.5684210526315789
qwen2_5_vl_7b,all,scalar_error_full,20,95,95,-0.002160518089065405,-0.0025409540622753912,0.43157894736842106
qwen2_5_vl_7b,all,scalar_error_full,21,95,95,-0.002306992623298681,-0.0012216607763476661,0.42105263157894735
qwen2_5_vl_7b,all,scalar_error_full,22,95,95,-5.236443175323615e-05,0.00010693359579849737,0.5157894736842106
qwen2_5_vl_7b,all,scalar_error_full,23,95,95,-0.000714525918632998,-0.0007406764077618755,0.35789473684210527
qwen2_5_vl_7b,all,scalar_error_full,24,95,95,0.0006966274793606973,0.001022748885174396,0.7368421052631579
qwen2_5_vl_7b,all,scalar_error_full,25,95,95,7.85342462959313e-05,0.0001208162674786184,0.6526315789473685
qwen2_5_vl_7b,all,scalar_error_full,26,95,95,7.906382467271634e-05,2.7180402329740616e-05,0.5894736842105263
qwen2_5_vl_7b,all,scalar_error_full,27,95,95,0.0007013273734488813,0.0002507167084109252,0.6421052631578947
qwen2_5_vl_7b,all,scalar_error_full,28,95,95,7.942948899801855e-05,0.00020387232556406953,0.5578947368421052
qwen2_5_vl_7b,all,scalar_error_projected,1,95,95,-0.011014835624544864,-0.016208850414195508,0.42105263157894735
qwen2_5_vl_7b,all,scalar_error_projected,2,95,95,-0.003578910100606971,-0.004465811091535987,0.4
qwen2_5_vl_7b,all,scalar_error_projected,3,95,95,-0.002153853299481184,-0.0030180603379723614,0.42105263157894735
qwen2_5_vl_7b,all,scalar_error_projected,4,95,95,-0.001439471778270729,-0.0027380311256697265,0.4842105263157895
qwen2_5_vl_7b,all,scalar_error_projected,5,95,95,0.0023843542260824583,1.9447655470461456e-06,0.5052631578947369
qwen2_5_vl_7b,all,scalar_error_projected,6,95,95,-0.0007734468163150622,-0.004483592430797323,0.43157894736842106
qwen2_5_vl_7b,all,scalar_error_projected,7,95,95,0.006911027369954686,0.002493068873745008,0.5157894736842106
qwen2_5_vl_7b,all,scalar_error_projected,8,95,95,0.0013953297965679362,0.005283040566047226,0.5052631578947369
qwen2_5_vl_7b,all,scalar_error_projected,9,95,95,0.00449041010949105,0.010155057762298747,0.5473684210526316
qwen2_5_vl_7b,all,scalar_error_projected,10,95,95,0.01671059073350338,0.014603744874921443,0.6210526315789474
qwen2_5_vl_7b,all,scalar_error_projected,11,95,95,0.0034368528454057105,0.0037847476597491214,0.5368421052631579
qwen2_5_vl_7b,all,scalar_error_projected,12,95,95,-0.00759956060953211,-0.007128966035351902,0.42105263157894735
