model,scope,metric,label,layer,n_total,n_valid,n_undefined,mean,q25,median,q75
qwen2_5_vl_7b,all,cos_mean,REAL,1,1006,1006,0,-0.13736187273904488,-0.2144339530414942,-0.13585782808620428,-0.062121065628883185
qwen2_5_vl_7b,all,cos_mean,REAL,2,1006,1006,0,-0.12733319112076133,-0.14313232765802186,-0.12132173812259799,-0.10784343303229266
qwen2_5_vl_7b,all,cos_mean,REAL,3,1006,1006,0,-0.18729393311374393,-0.21929515435408806,-0.1947085965770277,-0.15784566135853148
qwen2_5_vl_7b,all,cos_mean,REAL,4,1006,1006,0,-0.23428891147974681,-0.2703132418310627,-0.24812397187576518,-0.20100570440557902
qwen2_5_vl_7b,all,cos_mean,REAL,5,1006,1006,0,-0.2835220818623656,-0.3058099633067095,-0.2844660532342402,-0.26358346857832393
qwen2_5_vl_7b,all,cos_mean,REAL,6,1006,1006,0,-0.37151269256885716,-0.4020260435242431,-0.3828723928215457,-0.3472127579457467
qwen2_5_vl_7b,all,cos_mean,REAL,7,1006,1006,0,-0.35899428122630966,-0.4007993007264555,-0.3707015679062069,-0.3264279445552307
qwen2_5_vl_7b,all,cos_mean,REAL,8,1006,1006,0,-0.45967150848584065,-0.5148898626151293,-0.4854779679733126,-0.43062077239727425
qwen2_5_vl_7b,all,cos_mean,REAL,9,1006,1006,0,-0.36449128950001725,-0.41578910628243176,-0.38370350397502384,-0.32608106026881695
qwen2_5_vl_7b,all,cos_mean,REAL,10,1006,1006,0,-0.5724353297381918,-0.6234518434014348,-0.5842201233242093,-0.5316263558910433
qwen2_5_vl_7b,all,cos_mean,REAL,11,1006,1006,0,-0.4586422780850529,-0.4908885074614267,-0.4667330051661202,-0.4338167897761087
qwen2_5_vl_7b,all,cos_mean,REAL,12,1006,1006,0,-0.4283569107399762,-0.4550146717092265,-0.43321475228159756,-0.4062013452890239
qwen2_5_vl_7b,all,cos_mean,REAL,13,1006,1006,0,-0.41857949459425875,-0.46073800121503106,-0.42653423148220865,-0.38756536796922525
qwen2_5_vl_7b,all,cos_mean,REAL,14,1006,1006,0,-0.5015746952831863,-0.5318466619406617,-0.5070088295347017,-0.4734556730788992
qwen2_5_vl_7b,all,cos_mean,REAL,15,1006,1006,0,-0.3255836028300454,-0.35244588318510334,-0.3293410294599435,-0.29989689607154457
qwen2_5_vl_7b,all,cos_mean,REAL,16,1006,1006,0,-0.34790330782729567,-0.3754113242304503,-0.355911094090368,-0.3266898502594929
qwen2_5_vl_7b,all,cos_mean,REAL,17,1006,1006,0,-0.3660592047163934,-0.3857345343493592,-0.3642419346276432,-0.34546103734500827
qwen2_5_vl_7b,all,cos_mean,REAL,18,1006,1006,0,-0.38013515955044175,-0.39688634704179165,-0.38276326422566087,-0.36711787799562234
qwen2_5_vl_7b,all,cos_mean,REAL,19,1006,1006,0,-0.32920433522035303,-0.34898613617903945,-0.33217156845858214,-0.3132686122399352
qwen2_5_vl_7b,all,cos_mean,REAL,20,1006,1006,0,-0.2117490485183898,-0.23617301470530383,-0.21001901347538493,-0.18583730250121216
qwen2_5_vl_7b,all,cos_mean,REAL,21,1006,1006,0,-0.24718680898630963,-0.27570421628424546,-0.2446400080415883,-0.21274375394204323
qwen2_5_vl_7b,all,cos_mean,REAL,22,1006,1006,0,-0.14278669002011732,-0.16112157674885424,-0.14194098851197245,-0.12320053081766999
qwen2_5_vl_7b,all,cos_mean,REAL,23,1006,1006,0,-0.06509292112745539,-0.08834460198177212,-0.06726264482013125,-0.04645312260103719
qwen2_5_vl_7b,all,cos_mean,REAL,24,1006,1006,0,-0.07117681452736029,-0.08461683160064676,-0.07052101603140656,-0.056666975712536226
qwen2_5_vl_7b,all,cos_mean,REAL,25,1006,1006,0,-0.03994766562167205,-0.05743999785811553,-0.038205573876607904,-0.019641853523131907
qwen2_5_vl_7b,all,cos_mean,REAL,26,1006,1006,0,0.010887123333397414,0.0008659399682446026,0.011689708449445694,0.02266662967167972
qwen2_5_vl_7b,all,cos_mean,REAL,27,1006,1006,0,0.018563882173733604,-0.012919022673687762,0.016474554330006122,0.04701767686000799
qwen2_5_vl_7b,all,cos_mean,REAL,28,1006,1006,0,-0.05550988465639195,-0.10729033107723585,-0.036179846338998456,0.01485353485926229
qwen2_5_vl_7b,all,cos_mean,HALL,1,122,122,0,-0.13288003548486504,-0.19548483909924205,-0.12571309329381114,-0.05270599555826698
qwen2_5_vl_7b,all,cos_mean,HALL,2,122,122,0,-0.1307580212687418,-0.15647424050927883,-0.12425232781502216,-0.10977818801231184
qwen2_5_vl_7b,all,cos_mean,HALL,3,122,122,0,-0.19320165243269805,-0.22631547975259414,-0.2048117330972699,-0.15888514980943835
qwen2_5_vl_7b,all,cos_mean,HALL,4,122,122,0,-0.23637438829205543,-0.27045320387756544,-0.24843181100978062,-0.21333681467735435
