model,scope,metric,layer,n_mixed_images,n_valid,mean_hall_minus_real,median_hall_minus_real,fraction_hall_gt_real
qwen2_5_vl_7b,all,cos_mean,1,95,95,0.009721342800027314,0.008107264167747284,0.5368421052631579
qwen2_5_vl_7b,all,cos_mean,2,95,95,-0.005939698154017081,-0.005037163195622807,0.4421052631578947
qwen2_5_vl_7b,all,cos_mean,3,95,95,-0.003739570747620705,-0.01039885366740434,0.42105263157894735
qwen2_5_vl_7b,all,cos_mean,4,95,95,-0.0010660299832184424,-0.004561478114875062,0.4842105263157895
qwen2_5_vl_7b,all,cos_mean,5,95,95,-0.0031904311176639507,-0.004924696975428133,0.47368421052631576
qwen2_5_vl_7b,all,cos_mean,6,95,95,0.010367249063194984,0.0029892246893910013,0.5368421052631579
qwen2_5_vl_7b,all,cos_mean,7,95,95,0.007186181794477595,0.013907886298416272,0.5263157894736842
qwen2_5_vl_7b,all,cos_mean,8,95,95,-0.0033558452658287953,0.0026245877794598416,0.5263157894736842
qwen2_5_vl_7b,all,cos_mean,9,95,95,0.00034296950348557836,-0.005315258933861644,0.4631578947368421
qwen2_5_vl_7b,all,cos_mean,10,95,95,0.01686469239761929,0.017374477280146627,0.6210526315789474
qwen2_5_vl_7b,all,cos_mean,11,95,95,0.010259882022102991,0.009008830612984298,0.5894736842105263
qwen2_5_vl_7b,all,cos_mean,12,95,95,0.004754905571278442,0.0068625261386235925,0.5473684210526316
qwen2_5_vl_7b,all,cos_mean,13,95,95,0.009728145062511108,0.007462228190094677,0.5578947368421052
qwen2_5_vl_7b,all,cos_mean,14,95,95,-0.009660391604388056,-0.016926896770287025,0.3684210526315789
qwen2_5_vl_7b,all,cos_mean,15,95,95,0.0223910190754702,0.021789192027219517,0.7263157894736842
qwen2_5_vl_7b,all,cos_mean,16,95,95,0.0019203178135731346,0.0077922977453124265,0.5578947368421052
qwen2_5_vl_7b,all,cos_mean,17,95,95,-0.009674958374456607,-0.011311319992517888,0.3894736842105263
qwen2_5_vl_7b,all,cos_mean,18,95,95,-0.011147940629033867,-0.009132150727350352,0.43157894736842106
