model,family,head,method,AUROC_mean,AUROC_std,HALL_AUPR_mean,HALL_AUPR_std
internvl_2_5_8b,native,svar_native,svar,0.8846622454711929,0.003099655046475141,0.6646222632721618,0.011107917367478945
internvl_2_5_8b,native,metatoken_lr,metatoken,0.8639497472039223,0.0,0.6088260067626659,0.0
internvl_2_5_8b,native,metatoken_gb,metatoken,0.8714515528901924,0.0002125323299889806,0.633030976876478,0.0005642442134714903
internvl_2_5_8b,shared_mlp_fixed,svar,svar,0.8865518323155829,0.0025178471066258142,0.6678069172160109,0.010101802006499485
internvl_2_5_8b,shared_mlp_fixed,metatoken,metatoken,0.8408460825727563,0.004424249343806763,0.5462891591113072,0.006909642922087525
internvl_2_5_8b,shared_mlp_fixed,visual_only,visual_only,0.8742184479123348,0.006834454600990067,0.6141605962722715,0.01657796790590097
internvl_2_5_8b,shared_mlp_fixed,all_attention,all_attention,0.8808894555217521,0.003452062512740537,0.6225231897040922,0.00650550980625914
internvl_2_5_8b,shared_mlp_single,svar,svar,0.8879635506722989,0.0009907022171551983,0.6717060939507337,0.0021785215708436277
internvl_2_5_8b,shared_mlp_single,metatoken,metatoken,0.8766679798930449,0.002515836683450402,0.6307654397950909,0.00746580592852034
internvl_2_5_8b,shared_mlp_single,visual_only,visual_only,0.8811785477175396,0.0029341933859803517,0.6301793700328563,0.00822482403618512
internvl_2_5_8b,shared_mlp_single,all_attention,all_attention,0.8857602486375277,0.001972517903911237,0.6399779429585502,0.0038938045584337643
