model,model_label,rank,feature_set,threshold_mode,threshold_mean,threshold_std,num_seeds,seeds,headline_positive_class,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,accuracy_mean,accuracy_std,auc_mean,auc_std,aupr_mean,aupr_std,real_positive_precision_mean,real_positive_precision_std,real_positive_recall_mean,real_positive_recall_std,real_positive_f1_mean,real_positive_f1_std,real_positive_auc_mean,real_positive_auc_std,real_positive_aupr_mean,real_positive_aupr_std,hallucination_positive_precision_mean,hallucination_positive_precision_std,hallucination_positive_recall_mean,hallucination_positive_recall_std,hallucination_positive_f1_mean,hallucination_positive_f1_std,hallucination_positive_auc_mean,hallucination_positive_auc_std,hallucination_positive_aupr_mean,hallucination_positive_aupr_std
llava_1_5_7b,llava_1_5_7b,1,hpre_softmax_prob_gauss_source_target_union_topk_js+hpre_softmax_prob_gauss_ev_target_dist_mass_x_cosine,fixed_0.5,0.5,0.0,3,"43,44,45",real,0.9042957500795694,0.004268074411023506,0.8796334290794693,0.006226128670081297,0.8917636571312747,0.0013044347022765212,0.8346047891502436,0.001280254924093529,0.8890582403893585,0.0017329263335037143,0.964501373802385,0.0009092529367100979,0.9042957500795694,0.004268074411023506,0.8796334290794693,0.006226128670081297,0.8917636571312747,0.0013044347022765212,0.8890582403893585,0.0017329263335037143,0.964501373802385,0.0009092529367100979,0.621884969464953,0.00638505244917744,0.6798307475317348,0.01809908467787511,0.6493551989005865,0.005496372734233864,0.8890582403893585,0.0017329263335037143,0.6754281026823062,0.003749184113721326
llava_1_5_7b,llava_1_5_7b,2,hpre_raw_logit_gauss_source_target_union_topk_js+hpre_raw_logit_gauss_ev_target_dist_mass_x_cosine,fixed_0.5,0.5,0.0,3,"43,44,45",real,0.8933590489833297,0.003780595327737754,0.8980987553002325,0.0057772430808214915,0.8957044651480256,0.00274884067477904,0.8379953379953381,0.004023487507109052,0.8883100006385648,0.0013276068721106832,0.9647737575164346,0.0006068712678523033,0.8933590489833297,0.003780595327737754,0.8980987553002325,0.0057772430808214915,0.8957044651480256,0.00274884067477904,0.8883100006385648,0.0013276068721106832,0.9647737575164346,0.0006068712678523033,0.643412774609161,0.011184374772012642,0.6314057357780912,0.015720031497226575,0.6371964632826588,0.009382897198076643,0.8883100006385648,0.0013276068721106938,0.6655368147442209,0.006104708341696145
llava_1_5_7b,llava_1_5_7b,3,hpre_softmax_prob_gauss_ev_target_dist_mass_x_cosine,fixed_0.5,0.5,0.0,3,"43,44,45",real,0.8807984564880558,0.0019526711081094433,0.9024757215155246,0.00196316510660751,0.8915012411535033,0.00042499231495566063,0.8298368298368298,0.0007928920082165708,0.8749364087848767,0.0009525093108731026,0.9593122987498043,0.0003958283616507111,0.8807984564880558,0.0019526711081094433,0.9024757215155246,0.00196316510660751,0.8915012411535033,0.00042499231495566063,0.8749364087848767,0.0009525093108731026,0.9593122987498043,0.0003958283616507111,0.6338149754607989,0.001994581349532126,0.5801598495533615,0.008643524358650779,0.605760357671049,0.0043867550458567455,0.8749364087848767,0.000952509310873019,0.6406090258941919,0.0038946319818626315
llava_1_5_7b,llava_1_5_7b,4,hpre_raw_logit_gauss_source_target_union_topk_js,fixed_0.5,0.5,0.0,3,"43,44,45",real,0.8880495177042036,0.003947619488845874,0.8838736151005334,0.007019902842487397,0.8859240036361151,0.0018820839707320179,0.8236914600550964,0.0020977950702716205,0.8660044113059536,0.0017361479779861217,0.9568790192725944,0.0005841747159008464,0.8880495177042036,0.003947619488845874,0.8838736151005334,0.007019902842487397,0.8859240036361151,0.0018820839707320179,0.8660044113059536,0.0017361479779861217,0.9568790192725944,0.0005841747159008464,0.6074369183602224,0.008408318281799849,0.6168312176774801,0.018001118682723707,0.6118396997886562,0.005925423057008766,0.8660044113059538,0.0017361479779860723,0.6316020921251376,0.006871174976413452
llava_1_5_7b,llava_1_5_7b,5,hpre_raw_logit_gauss_ev_target_dist_mass_x_cosine,fixed_0.5,0.5,0.0,3,"43,44,45",real,0.8797229959133942,0.006129588935801226,0.897551634523321,0.008517793722850614,0.8884890336241612,0.0014506294868498783,0.8254926891290527,0.0015786887503445122,0.8651565284376441,0.003210494145549386,0.9552341856518033,0.001398994151964333,0.8797229959133942,0.006129588935801226,0.897551634523321,0.008517793722850614,0.8884890336241612,0.0014506294868498783,0.8651565284376441,0.003210494145549386,0.9552341856518033,0.001398994151964333,0.621842949910954,0.009210506078048283,0.5778091208274566,0.02826354182452118,0.5984465599977647,0.011815639225478848,0.8651565284376441,0.0032104941455492475,0.6362319564877805,0.0039448498212804484
llava_1_5_7b,llava_1_5_7b,6,hpre_softmax_prob_gauss_source_target_union_topk_js,fixed_0.5,0.5,0.0,3,"43,44,45",real,0.879040700510787,0.009136344060934894,0.8974148543290932,0.015842902186371476,0.8879582859917107,0.0030667974839702007,0.8246450519177791,0.0023406147525296167,0.8650205199229323,0.001622698151681672,0.955375888445376,0.0009228041686275189,0.879040700510787,0.009136344060934894,0.8974148543290932,0.015842902186371476,0.8879582859917107,0.0030667974839702007,0.8650205199229323,0.001622698151681672,0.955375888445376,0.0009228041686275189,0.6216990118542333,0.019009802987720262,0.5745181006111895,0.04426366636930823,0.5954391502794011,0.015770116866278397,0.8650205199229323,0.0016226981516816595,0.6449889846234057,0.001604926973412066
llava_1_5_7b,llava_1_5_7b,1,hpre_softmax_prob_gauss_source_target_union_topk_js+hpre_softmax_prob_gauss_ev_target_dist_mass_x_cosine,train_f1,0.46851054827372235,0.013206588016205636,3,"43,44,45",real,0.8954126275056788,0.0020716354834733274,0.8922172069484339,0.002789779517763784,0.8938055138630218,0.00044449691105516047,0.8357702903157449,0.00039644600410827053,0.8890582403893585,0.0017329263335037143,0.964501373802385,0.0009092529367100979,0.8954126275056788,0.0020716354834733274,0.8922172069484339,0.002789779517763784,0.8938055138630218,0.00044449691105516047,0.8890582403893585,0.0017329263335037143,0.964501373802385,0.0009092529367100979,0.6340488041600139,0.0028473569676574807,0.6417489421720733,0.00899441771025339,0.6378227344348204,0.0031239522588558497,0.8890582403893585,0.0017329263335037143,0.6754281026823062,0.003749184113721326
llava_1_5_7b,llava_1_5_7b,2,hpre_raw_logit_gauss_source_target_union_topk_js+hpre_raw_logit_gauss_ev_target_dist_mass_x_cosine,train_f1,0.5048721333344778,0.008776364801210548,3,"43,44,45",real,0.8941289920775838,0.00615043345502663,0.8970045137464094,0.004654547812111498,0.8955393286426215,0.0027270255174064494,0.8378893833439287,0.004591639898287906,0.8883100006385648,0.0013276068721106832,0.9647737575164346,0.0006068712678523033,0.8941289920775838,0.00615043345502663,0.8970045137464094,0.004654547812111498,0.8955393286426215,0.0027270255174064494,0.8883100006385648,0.0013276068721106832,0.9647737575164346,0.0006068712678523033,0.6419396398273368,0.008885545313610433,0.6346967559943583,0.02493989132087419,0.6380795079843513,0.014901152250395792,0.8883100006385648,0.0013276068721106938,0.6655368147442209,0.006104708341696145
llava_1_5_7b,llava_1_5_7b,3,hpre_softmax_prob_gauss_ev_target_dist_mass_x_cosine,train_f1,0.45437315106391907,0.01715775434520523,3,"43,44,45",real,0.8612500855084487,0.006518694481496109,0.9288742990015045,0.007852660426429955,0.8937276757988744,0.00030660027705138327,0.828883237974147,0.001226513763804864,0.8749364087848767,0.0009525093108731026,0.9593122987498043,0.0003958283616507111,0.8612500855084487,0.006518694481496109,0.9288742990015045,0.007852660426429955,0.8937276757988744,0.00030660027705138327,0.8749364087848767,0.0009525093108731026,0.9593122987498043,0.0003958283616507111,0.6657134407134407,0.009581558240373773,0.4851904090267983,0.032101006140313214,0.5604221274067495,0.017592532091078108,0.8749364087848767,0.000952509310873019,0.6406090258941919,0.0038946319818626315
llava_1_5_7b,llava_1_5_7b,4,hpre_raw_logit_gauss_source_target_union_topk_js,train_f1,0.44058165947596234,0.003112440336879708,3,"43,44,45",real,0.8693611753606317,0.006784904485454725,0.9093147312269183,0.008151915976337758,0.8888268389617129,0.0003662394182061843,0.8237974147065056,0.0010805296701828142,0.8660044113059536,0.0017361479779861217,0.9568790192725944,0.0005841747159008464,0.8693611753606317,0.006784904485454725,0.9093147312269183,0.008151915976337758,0.8888268389617129,0.0003662394182061843,0.8660044113059536,0.0017361479779861217,0.9568790192725944,0.0005841747159008464,0.6301124870154721,0.007031823803531513,0.5298542548189938,0.03259978528135349,0.5748853018372001,0.016887253576622154,0.8660044113059538,0.0017361479779860723,0.6316020921251376,0.006871174976413452
