model,feature,seed,input_dim,best_epoch,epochs,validation_AUROC,validation_HALL_AUPR,AUROC,HALL_AUPR
internvl_2_5_8b,legacy_visual,43,64,12,32,0.8422360863537334,0.5238454428439235,0.8578802776171197,0.5342547832719292
internvl_2_5_8b,legacy_visual,44,64,16,36,0.8433699742523272,0.5226528844540673,0.8623048004626953,0.5386171752411905
internvl_2_5_8b,legacy_visual,45,64,20,40,0.8423004555357496,0.5196512524856598,0.8670474262579526,0.5428994678896067
internvl_2_5_8b,legacy_plus_prompt_kappa,43,96,12,32,0.8676569617746088,0.5625764154795946,0.8806911509543088,0.5693362224935399
internvl_2_5_8b,legacy_plus_prompt_kappa,44,96,13,33,0.867706476530006,0.5609874780792515,0.8813851937536148,0.5654462323867864
internvl_2_5_8b,legacy_plus_prompt_kappa,45,96,12,32,0.8714299861358685,0.5705455345172128,0.8830740312319261,0.570622924696111
internvl_2_5_8b,legacy_plus_generation_kappa,43,96,12,32,0.8557783719548426,0.5276361966418175,0.868684210526316,0.5574428313853341
internvl_2_5_8b,legacy_plus_generation_kappa,44,96,15,35,0.8589918795801148,0.5417870833881988,0.8700260266049739,0.5400127292424041
internvl_2_5_8b,legacy_plus_generation_kappa,45,96,12,32,0.8583135274311746,0.5437856108478103,0.8710208212839792,0.5457840726767353
internvl_2_5_8b,legacy_plus_b1_residual_balance,43,96,12,32,0.8597841156664685,0.545034057128566,0.862056101792944,0.536814787100448
internvl_2_5_8b,legacy_plus_b1_residual_balance,44,96,10,30,0.854674192909487,0.5332959366317962,0.8606969346443032,0.5352472442105503
internvl_2_5_8b,legacy_plus_b1_residual_balance,45,96,12,32,0.8576995444642505,0.5515026335512253,0.8665615962984384,0.5513398737414201
internvl_2_5_8b,legacy_plus_b1_delta_cos_rg,43,96,12,32,0.8722667855020797,0.5843033701343805,0.8760815500289185,0.5729931941212357
internvl_2_5_8b,legacy_plus_b1_delta_cos_rg,44,96,16,36,0.8731283422459892,0.5947666688302695,0.8770358588779642,0.5682952059397066
internvl_2_5_8b,legacy_plus_b1_delta_cos_rg,45,96,12,32,0.8700485244602892,0.5870576006469947,0.8728282244071719,0.5668407651503534
internvl_2_5_8b,legacy_plus_visual_context_change,43,96,12,32,0.864691027926322,0.572965757206515,0.8657923655292077,0.5607867013610481
internvl_2_5_8b,legacy_plus_visual_context_change,44,96,6,26,0.8605614973262032,0.574978594112748,0.8563013302486986,0.5282797826533853
internvl_2_5_8b,legacy_plus_visual_context_change,45,96,6,26,0.8605862547039018,0.5760703908778,0.8623221515326778,0.5518873873258577
internvl_2_5_8b,legacy_plus_five,43,224,11,31,0.8935680332739157,0.636133430617529,0.8845373048004628,0.5812254054162728
internvl_2_5_8b,legacy_plus_five,44,224,10,30,0.8910378292731234,0.6380082469503958,0.8890485829959515,0.6087988242607352
internvl_2_5_8b,legacy_plus_five,45,224,12,32,0.8936571598336304,0.6368570802755994,0.889493927125506,0.6124125170142394
