model,scope,metric,layer,n_mixed_images,n_valid,mean_hall_minus_real,median_hall_minus_real,fraction_hall_gt_real
qwen2_5_vl_7b,all,amp_mean,1,95,95,-0.05106816077042974,-0.08456939516306483,0.3684210526315789
qwen2_5_vl_7b,all,amp_mean,2,95,95,-0.013200312854615048,-0.01860974650473729,0.45263157894736844
qwen2_5_vl_7b,all,amp_mean,3,95,95,0.0037495042905281916,0.010061966303567371,0.5789473684210527
qwen2_5_vl_7b,all,amp_mean,4,95,95,-0.002302599436867405,0.004123434717806462,0.5157894736842106
qwen2_5_vl_7b,all,amp_mean,5,95,95,-0.018993210562803245,-0.01950542338613004,0.43157894736842106
qwen2_5_vl_7b,all,amp_mean,6,95,95,-0.016212362834557518,-0.015757527316286102,0.47368421052631576
qwen2_5_vl_7b,all,amp_mean,7,95,95,0.005284196393816127,0.010609099032848457,0.5789473684210527
qwen2_5_vl_7b,all,amp_mean,8,95,95,0.011545925222004602,0.009222100698400681,0.5368421052631579
qwen2_5_vl_7b,all,amp_mean,9,95,95,0.005530343131324429,0.006696924550568473,0.5263157894736842
qwen2_5_vl_7b,all,amp_mean,10,95,95,-0.006735212012797402,-0.02319450099388809,0.43157894736842106
qwen2_5_vl_7b,all,amp_mean,11,95,95,-0.013845813161172634,-0.022395550211291693,0.3263157894736842
qwen2_5_vl_7b,all,amp_mean,12,95,95,0.006520947737414272,6.387920984951556e-05,0.5052631578947369
qwen2_5_vl_7b,all,amp_mean,13,95,95,0.00030036409961024026,0.0025722478335423737,0.5052631578947369
qwen2_5_vl_7b,all,amp_mean,14,95,95,0.0037140405990507843,0.004908825077017953,0.5578947368421052
qwen2_5_vl_7b,all,amp_mean,15,95,95,0.005059349728928274,0.01424727259729397,0.5473684210526316
qwen2_5_vl_7b,all,amp_mean,16,95,95,-0.016238178347311342,-0.02298479675101195,0.3684210526315789
qwen2_5_vl_7b,all,amp_mean,17,95,95,-0.009987768087686122,-0.005843295696274842,0.4
qwen2_5_vl_7b,all,amp_mean,18,95,95,-0.007157017568760588,-0.0007907665342460346,0.47368421052631576
qwen2_5_vl_7b,all,amp_mean,19,95,95,0.007720254378857129,0.005206905584861032,0.5263157894736842
qwen2_5_vl_7b,all,amp_mean,20,95,95,-0.0006638957495877243,-0.0015368373593452889,0.49473684210526314
qwen2_5_vl_7b,all,amp_mean,21,95,95,-0.0019830264794339107,-0.006284228078614618,0.4631578947368421
qwen2_5_vl_7b,all,amp_mean,22,95,95,0.013014622954328607,0.01330787968890057,0.631578947368421
qwen2_5_vl_7b,all,amp_mean,23,95,95,-0.002595544926827558,-0.0050907594890753916,0.42105263157894735
qwen2_5_vl_7b,all,amp_mean,24,95,95,0.03827815101210461,0.02892153741246556,0.6526315789473685
qwen2_5_vl_7b,all,amp_mean,25,95,95,0.014749049264486036,0.007691037018721314,0.5789473684210527
qwen2_5_vl_7b,all,amp_mean,26,95,95,0.02100163103094847,0.011305576545653673,0.631578947368421
qwen2_5_vl_7b,all,amp_mean,27,95,95,0.02908537695221843,0.02225437977186867,0.6947368421052632
qwen2_5_vl_7b,all,amp_mean,28,95,95,0.02627577364982495,-0.0008867879015443947,0.49473684210526314
qwen2_5_vl_7b,all,amp_median,1,95,95,-0.053905541434442886,-0.09255235674719331,0.35789473684210527
qwen2_5_vl_7b,all,amp_median,2,95,95,-0.014216688662960752,-0.03010821572088751,0.43157894736842106
qwen2_5_vl_7b,all,amp_median,3,95,95,0.0032698785197598987,0.013788360512343778,0.6
qwen2_5_vl_7b,all,amp_median,4,95,95,-0.0005429353059798092,0.004667421301796315,0.5263157894736842
qwen2_5_vl_7b,all,amp_median,5,95,95,-0.016000664765952063,-0.019835827183890098,0.43157894736842106
qwen2_5_vl_7b,all,amp_median,6,95,95,-0.016167188643436407,-0.014590574285829883,0.4631578947368421
qwen2_5_vl_7b,all,amp_median,7,95,95,0.005235145065828206,0.01098873927698818,0.5789473684210527
qwen2_5_vl_7b,all,amp_median,8,95,95,0.012963806646824533,0.01724450185764681,0.5473684210526316
qwen2_5_vl_7b,all,amp_median,9,95,95,0.004985136243097807,-0.0011448173621448898,0.49473684210526314
qwen2_5_vl_7b,all,amp_median,10,95,95,-0.014487190843061524,-0.024745870594612418,0.42105263157894735
qwen2_5_vl_7b,all,amp_median,11,95,95,-0.015025398038101637,-0.024311444516821323,0.37894736842105264
qwen2_5_vl_7b,all,amp_median,12,95,95,0.007601133930685766,0.008729322584047905,0.5263157894736842
qwen2_5_vl_7b,all,amp_median,13,95,95,0.0016999826927236894,0.010425501003025084,0.5157894736842106
qwen2_5_vl_7b,all,amp_median,14,95,95,0.006557199190767282,0.009437328139960899,0.6
